訊號日期,代號,名稱,市場,產業,rank,AI總分,技術分,籌碼分,風險分,snapshot_file,基準日期,基準收盤價,狀態,1日後收盤價,1日報酬率,3日後收盤價,3日報酬率,5日後收盤價,5日報酬率
2026-06-11,2313,華通,未知,電子工業,1,71.8,70,95,0,rank_20260612.csv,2026-06-11,275.0,完成,263.0,-4.36,249.0,-9.45,259.5,-5.64
2026-06-11,8021,尖點,未知,電子工業,2,65.0,100,40,40,rank_20260612.csv,2026-06-11,570.0,完成,522.0,-8.42,518.0,-9.12,543.0,-4.74
2026-06-11,3042,晶技,未知,電子工業,3,64.5,70,80,20,rank_20260612.csv,2026-06-11,235.0,完成,224.5,-4.47,229.0,-2.55,216.0,-8.09
2026-06-11,2383,台光電,未知,電子工業,4,56.0,70,50,0,rank_20260612.csv,2026-06-11,5095.0,完成,4830.0,-5.2,5120.0,0.49,5600.0,9.91
2026-06-11,2327,國巨*,未知,電子工業,5,55.3,85,30,20,rank_20260612.csv,2026-06-11,842.0,完成,855.0,1.54,950.0,12.83,1080.0,28.27
2026-06-11,3008,大立光,未知,光電業,6,50.5,60,50,0,rank_20260612.csv,2026-06-11,4165.0,完成,4020.0,-3.48,4860.0,16.69,5195.0,24.73
2026-06-11,6173,信昌電,未知,電子零組件業,7,46.5,85,5,20,rank_20260612.csv,2026-06-11,251.5,完成,276.5,9.94,287.0,14.12,316.0,25.65
2026-06-11,2344,華邦電,未知,半導體業,8,37.0,45,35,0,rank_20260612.csv,2026-06-11,156.5,完成,172.0,9.9,197.0,25.88,218.5,39.62
2026-06-11,3105,穩懋,未知,半導體業,9,34.0,30,50,0,rank_20260612.csv,2026-06-11,481.5,完成,505.0,4.88,493.0,2.39,528.0,9.66
2026-06-11,2408,南亞科,未知,半導體業,10,32.0,30,50,20,rank_20260612.csv,2026-06-11,340.0,完成,374.0,10.0,425.0,25.0,459.5,35.15
2026-06-12,2408,南亞科,未知,半導體業,1,71.8,70,95,0,rank_20260613.csv,2026-06-12,374.0,完成,395.5,5.75,437.0,16.84,505.0,35.03
2026-06-12,4958,臻鼎-KY,未知,電子工業,2,69.2,75,80,0,rank_20260613.csv,2026-06-12,552.0,完成,590.0,6.88,639.0,15.76,622.0,12.68
2026-06-12,2344,華邦電,未知,半導體業,3,61.2,70,65,0,rank_20260613.csv,2026-06-12,172.0,完成,189.0,9.88,199.0,15.7,222.0,29.07
2026-06-12,3105,穩懋,未知,半導體業,4,61.0,60,80,0,rank_20260613.csv,2026-06-12,505.0,完成,511.0,1.19,519.0,2.77,541.0,7.13
2026-06-12,6223,旺矽,未知,半導體業,5,61.0,60,80,0,rank_20260613.csv,2026-06-12,6485.0,完成,6435.0,-0.77,6420.0,-1.0,6425.0,-0.93
2026-06-12,2327,國巨*,未知,電子工業,6,55.8,60,65,0,rank_20260613.csv,2026-06-12,855.0,完成,940.0,9.94,984.0,15.09,1065.0,24.56
2026-06-12,3711,日月光投控,未知,半導體業,7,52.2,60,55,0,rank_20260613.csv,2026-06-12,590.0,完成,590.0,0.0,595.0,0.85,674.0,14.24
2026-06-12,3008,大立光,未知,光電業,8,47.8,55,50,0,rank_20260613.csv,2026-06-12,4020.0,完成,4420.0,9.95,5145.0,27.99,5185.0,28.98
2026-06-12,8021,尖點,未知,其他電子業,9,45.8,55,50,20,rank_20260613.csv,2026-06-12,522.0,完成,506.0,-3.07,542.0,3.83,581.0,11.3
2026-06-12,2303,聯電,未知,半導體業,10,45.2,60,35,0,rank_20260613.csv,2026-06-12,133.5,完成,141.5,5.99,140.0,4.87,160.0,19.85
2026-06-15,2404,漢唐,未知,其他電子業,1,70.0,80,80,20,rank_20260616.csv,2026-06-15,1380.0,等待未來交易日,1245.0,-9.78,1265.0,-8.33,,
2026-06-15,3042,晶技,未知,電子工業,2,70.0,70,90,0,rank_20260616.csv,2026-06-15,243.5,等待未來交易日,229.0,-5.95,216.0,-11.29,,
2026-06-15,1303,南亞,未知,塑膠工業,3,69.8,70,95,20,rank_20260616.csv,2026-06-15,117.0,等待未來交易日,115.0,-1.71,139.0,18.8,,
2026-06-15,3008,大立光,未知,光電業,4,68.8,90,55,0,rank_20260616.csv,2026-06-15,4420.0,等待未來交易日,4860.0,9.95,5195.0,17.53,,
2026-06-15,2327,國巨*,未知,電子工業,5,68.5,90,60,20,rank_20260616.csv,2026-06-15,940.0,等待未來交易日,950.0,1.06,1080.0,14.89,,
2026-06-15,3037,欣興,未知,電子工業,6,66.5,70,80,0,rank_20260616.csv,2026-06-15,960.0,等待未來交易日,981.0,2.19,968.0,0.83,,
2026-06-15,2330,台積電,未知,半導體業,7,66.5,70,80,0,rank_20260616.csv,2026-06-15,2375.0,等待未來交易日,2400.0,1.05,2410.0,1.47,,
2026-06-15,0050,元大台灣50,未知,ETF,8,61.2,70,65,0,rank_20260616.csv,2026-06-15,105.25,等待未來交易日,105.9,0.62,107.3,1.95,,
2026-06-15,4958,臻鼎-KY,未知,電子零組件業,9,54.5,80,30,0,rank_20260616.csv,2026-06-15,590.0,等待未來交易日,624.0,5.76,642.0,8.81,,
2026-06-15,2344,華邦電,未知,半導體業,10,52.0,70,50,40,rank_20260616.csv,2026-06-15,189.0,等待未來交易日,197.0,4.23,218.5,15.61,,
2026-06-16,6488,環球晶,未知,半導體業,1,75.5,100,70,40,rank_20260617.csv,2026-06-16,1045.0,等待未來交易日,1100.0,5.26,1115.0,6.7,,
2026-06-16,3008,大立光,未知,光電業,2,73.5,90,80,40,rank_20260617.csv,2026-06-16,4860.0,等待未來交易日,5145.0,5.86,5185.0,6.69,,
2026-06-16,4958,臻鼎-KY,未知,電子零組件業,3,73.5,80,90,20,rank_20260617.csv,2026-06-16,624.0,等待未來交易日,639.0,2.4,622.0,-0.32,,
2026-06-16,1303,南亞,未知,塑膠工業,4,71.8,70,95,0,rank_20260617.csv,2026-06-16,115.0,等待未來交易日,126.5,10.0,152.5,32.61,,
2026-06-16,2344,華邦電,未知,半導體業,5,71.5,80,90,40,rank_20260617.csv,2026-06-16,197.0,等待未來交易日,199.0,1.02,222.0,12.69,,
2026-06-16,2454,聯發科,未知,半導體業,6,70.0,70,90,0,rank_20260617.csv,2026-06-16,4560.0,等待未來交易日,4460.0,-2.19,4465.0,-2.08,,
2026-06-16,2330,台積電,未知,半導體業,7,66.5,70,80,0,rank_20260617.csv,2026-06-16,2400.0,等待未來交易日,2385.0,-0.62,2510.0,4.58,,
2026-06-16,2327,國巨*,未知,電子工業,8,63.0,80,60,20,rank_20260617.csv,2026-06-16,950.0,等待未來交易日,984.0,3.58,1065.0,12.11,,
2026-06-16,6239,力成,未知,半導體業,9,57.8,70,55,0,rank_20260617.csv,2026-06-16,346.5,等待未來交易日,345.0,-0.43,366.0,5.63,,
2026-06-16,3026,禾伸堂,未知,電子工業,10,52.0,70,50,40,rank_20260617.csv,2026-06-16,815.0,等待未來交易日,896.0,9.94,897.0,10.06,,
2026-06-17,6488,環球晶,未知,半導體業,1,76.2,95,80,40,rank_20260618.csv,2026-06-17,1100.0,等待未來交易日,1110.0,0.91,,,,
2026-06-17,6182,合晶,未知,半導體業,2,73.8,100,65,40,rank_20260618.csv,2026-06-17,114.0,等待未來交易日,120.0,5.26,,,,
2026-06-17,1303,南亞,未知,塑膠工業,3,68.2,90,65,40,rank_20260618.csv,2026-06-17,126.5,等待未來交易日,139.0,9.88,,,,
2026-06-17,3008,大立光,未知,光電業,4,68.0,80,80,40,rank_20260618.csv,2026-06-17,5145.0,等待未來交易日,5195.0,0.97,,,,
2026-06-17,2408,南亞科,未知,半導體業,5,66.5,90,60,40,rank_20260618.csv,2026-06-17,437.0,等待未來交易日,459.5,5.15,,,,
2026-06-17,2409,友達,未知,光電業,6,66.0,85,55,0,rank_20260618.csv,2026-06-17,26.25,等待未來交易日,28.15,7.24,,,,
2026-06-17,3026,禾伸堂,未知,電子工業,7,58.5,85,45,40,rank_20260618.csv,2026-06-17,896.0,等待未來交易日,902.0,0.67,,,,
2026-06-17,4958,臻鼎-KY,未知,電子工業,8,56.0,70,50,0,rank_20260618.csv,2026-06-17,639.0,等待未來交易日,642.0,0.47,,,,
2026-06-17,2383,台光電,未知,電子工業,9,56.0,70,50,0,rank_20260618.csv,2026-06-17,5200.0,等待未來交易日,5600.0,7.69,,,,
2026-06-17,3443,創意,未知,半導體業,10,56.0,70,50,0,rank_20260618.csv,2026-06-17,5075.0,等待未來交易日,4860.0,-4.24,,,,
2026-06-18,2337,旺宏,未知,半導體業,1,78.2,85,90,0,rank_20260619.csv,2026-06-18,169.0,等待未來交易日,185.5,9.76,,,,
2026-06-18,2408,南亞科,未知,半導體業,2,75.5,90,80,20,rank_20260619.csv,2026-06-18,459.5,等待未來交易日,505.0,9.9,,,,
2026-06-18,4958,臻鼎-KY,未知,電子工業,3,75.5,80,90,0,rank_20260619.csv,2026-06-18,642.0,等待未來交易日,622.0,-3.12,,,,
2026-06-18,2409,友達,未知,光電業,4,74.5,85,85,20,rank_20260619.csv,2026-06-18,28.15,等待未來交易日,30.95,9.95,,,,
2026-06-18,6182,合晶,未知,半導體業,5,72.0,100,60,40,rank_20260619.csv,2026-06-18,120.0,等待未來交易日,116.5,-2.92,,,,
2026-06-18,2327,國巨*,未知,電子工業,6,68.2,90,65,40,rank_20260619.csv,2026-06-18,1080.0,等待未來交易日,1065.0,-1.39,,,,
2026-06-18,1303,南亞,未知,塑膠工業,7,66.5,90,60,40,rank_20260619.csv,2026-06-18,139.0,等待未來交易日,152.5,9.71,,,,
2026-06-18,2344,華邦電,未知,半導體業,8,57.8,90,35,40,rank_20260619.csv,2026-06-18,218.5,等待未來交易日,222.0,1.6,,,,
2026-06-18,2383,台光電,未知,電子工業,9,56.0,70,50,0,rank_20260619.csv,2026-06-18,5600.0,等待未來交易日,5825.0,4.02,,,,
2026-06-18,8299,群聯,未知,半導體業,10,56.0,70,50,0,rank_20260619.csv,2026-06-18,2530.0,等待未來交易日,2580.0,1.98,,,,
2026-06-18,2337,旺宏,未知,半導體業,1,78.2,85,90,0,rank_20260620.csv,2026-06-18,169.0,等待未來交易日,185.5,9.76,,,,
2026-06-18,3711,日月光投控,未知,半導體業,2,74.8,85,80,0,rank_20260620.csv,2026-06-18,613.0,等待未來交易日,674.0,9.95,,,,
2026-06-18,2449,京元電子,未知,半導體業,3,74.8,85,80,0,rank_20260620.csv,2026-06-18,308.5,等待未來交易日,339.0,9.89,,,,
2026-06-18,6182,合晶,未知,半導體業,4,72.0,100,60,40,rank_20260620.csv,2026-06-18,120.0,等待未來交易日,116.5,-2.92,,,,
2026-06-18,2327,國巨*,未知,電子工業,5,68.2,90,65,40,rank_20260620.csv,2026-06-18,1080.0,等待未來交易日,1065.0,-1.39,,,,
2026-06-18,1303,南亞,未知,塑膠工業,6,66.5,90,60,40,rank_20260620.csv,2026-06-18,139.0,等待未來交易日,152.5,9.71,,,,
2026-06-18,2408,南亞科,未知,半導體業,7,65.0,90,50,20,rank_20260620.csv,2026-06-18,459.5,等待未來交易日,505.0,9.9,,,,
2026-06-18,2409,友達,未知,光電業,8,62.2,85,50,20,rank_20260620.csv,2026-06-18,28.15,等待未來交易日,30.95,9.95,,,,
2026-06-18,4958,臻鼎-KY,未知,電子工業,9,61.5,80,50,0,rank_20260620.csv,2026-06-18,642.0,等待未來交易日,622.0,-3.12,,,,
2026-06-18,2492,華新科,未知,電子工業,10,60.5,95,35,40,rank_20260620.csv,2026-06-18,561.0,等待未來交易日,617.0,9.98,,,,
2026-06-22,2330,台積電,未知,半導體業,1,77.5,90,80,0,rank_20260623.csv,2026-06-22,2510.0,等待未來交易日,,,,,,
2026-06-22,2492,華新科,未知,電子工業,2,77.0,90,90,40,rank_20260623.csv,2026-06-22,617.0,等待未來交易日,,,,,,
2026-06-22,2449,京元電子,未知,半導體業,3,76.2,85,90,20,rank_20260623.csv,2026-06-22,339.0,等待未來交易日,,,,,,
2026-06-22,2337,旺宏,未知,半導體業,4,75.8,100,65,20,rank_20260623.csv,2026-06-22,185.5,等待未來交易日,,,,,,
2026-06-22,6274,台燿,未知,電子零組件業,5,75.5,90,80,20,rank_20260623.csv,2026-06-22,1900.0,等待未來交易日,,,,,,
